"indicador_id","localidade_id","ano","valor","justificativa","data_insercao","data_referencia","fonte","url_fonte","metodologia_calculo","data_coleta","confiabilidade","usuario_insercao","processo_etl","versao_metodologia","flags","nota","esfera_poder","metadados","direcionalidade"
"CAPAG - Endividamento","3120706","2022","0.0124407505535892","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Poupança Corrente","3120706","2022","0.895383744078878","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","municipal","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Liquidez","3120706","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","n.d.","municipal","{'nota': 'n.d.', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Nota Final","3120706","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","n.d.","municipal","{'nota': 'n.d.', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Endividamento","4106571","2022","0.0477613907599341","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Poupança Corrente","4106571","2022","0.844657138383067","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Liquidez","4106571","2022","0.0256357541745733","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Nota Final","4106571","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Endividamento","4106605","2022","0.0725575485929219","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Poupança Corrente","4106605","2022","0.87009774305352","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","municipal","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Liquidez","4106605","2022","-3.78764951709768","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","C","municipal","{'nota': 'C', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Nota Final","4106605","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","C","municipal","{'nota': 'C', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Endividamento","1200203","2022","0.121804194754796","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Poupança Corrente","1200203","2022","0.966072747669054","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","C","municipal","{'nota': 'C', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Liquidez","1200203","2022","0.127577770536656","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Nota Final","1200203","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","C","municipal","{'nota': 'C', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Endividamento","4106704","2022","0.180048796096795","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Poupança Corrente","4106704","2022","0.89473574757102","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","municipal","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Liquidez","4106704","2022","0.597540342119302","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Nota Final","4106704","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","n.d.","municipal","{'nota': 'n.d.', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Endividamento","4306205","2022","0.0628923484951593","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
